WARN  - 2013-09-13 03:19:07.776; org.apache.solr.core.SolrCore; [food] Solr index directory '/Users/zim/solr/foodrecommender/solr/food/data/index' doesn't exist. Creating new index...
INFO  - 2013-09-13 03:19:07.785; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/zim/solr/foodrecommender/solr/food/data/index
INFO  - 2013-09-13 03:19:07.866; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/zim/solr/foodrecommender/solr/food/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@546e3e5e; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-09-13 03:19:07.867; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-09-13 03:19:07.873; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-09-13 03:19:07.873; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-09-13 03:19:07.955; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2013-09-13 03:19:07.955; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SpellCheckerRequestHandler
INFO  - 2013-09-13 03:19:07.955; org.apache.solr.core.RequestHandlers; created spellchecker: solr.SpellCheckerRequestHandler
INFO  - 2013-09-13 03:19:07.957; org.apache.solr.core.RequestHandlers; created /mlt: solr.MoreLikeThisHandler
INFO  - 2013-09-13 03:19:07.962; org.apache.solr.core.RequestHandlers; created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
INFO  - 2013-09-13 03:19:07.962; org.apache.solr.core.RequestHandlers; created /search: org.apache.solr.handler.component.SearchHandler
INFO  - 2013-09-13 03:19:07.963; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.component.SearchHandler
INFO  - 2013-09-13 03:19:07.963; org.apache.solr.core.RequestHandlers; created /elevate: org.apache.solr.handler.component.SearchHandler
INFO  - 2013-09-13 03:19:07.966; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-09-13 03:19:07.967; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2013-09-13 03:19:07.969; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-09-13 03:19:07.971; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-09-13 03:19:07.988; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-09-13 03:19:08.003; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@7fe5c339 main
INFO  - 2013-09-13 03:19:08.022; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2013-09-13 03:19:08.022; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-09-13 03:19:08.024; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/zim/solr/foodrecommender/solr/food/conf/elevate.xml
INFO  - 2013-09-13 03:19:08.078; org.apache.solr.core.CoreContainer; registering core: food
INFO  - 2013-09-13 03:19:08.078; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@7fe5c339 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-09-13 03:19:08.079; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-09-13 03:19:08.080; org.apache.solr.core.SolrCore; [food] Registered new searcher Searcher@7fe5c339 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-09-13 03:19:08.082; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/zim/solr/foodrecommender
INFO  - 2013-09-13 03:19:08.083; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-09-13 03:19:08.165; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-09-13 03:19:26.083; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1379035166067&wt=json} status=0 QTime=5 
INFO  - 2013-09-13 03:19:26.210; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/system params={_=1379035166133&wt=json} status=0 QTime=57 
INFO  - 2013-09-13 03:19:29.313; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1379035169305&contentType=text/html;charset%3Dutf-8} status=0 QTime=2 
INFO  - 2013-09-13 03:19:29.323; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1379035169304&contentType=text/html;charset%3Dutf-8} status=0 QTime=0 
INFO  - 2013-09-13 03:19:29.372; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/ping params={action=status&_=1379035169352&wt=json} status=503 QTime=4 
INFO  - 2013-09-13 03:19:29.378; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={command=details&_=1379035169348&wt=json} status=0 QTime=11 
INFO  - 2013-09-13 03:19:29.397; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1379035169350} status=0 QTime=1 
INFO  - 2013-09-13 03:19:29.405; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/luke params={numTerms=0&_=1379035169342&show=index&wt=json} status=0 QTime=14 
INFO  - 2013-09-13 03:19:37.167; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1379035177162&wt=json} status=0 QTime=3 
INFO  - 2013-09-13 03:19:37.214; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1379035177201&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:19:37.222; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035177209&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:19:37.227; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=show-config&_=1379035177203} status=0 QTime=9 
INFO  - 2013-09-13 03:19:39.265; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035179262&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:41.277; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035181273&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:43.296; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035183293&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:45.307; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035185305&wt=json} status=0 QTime=0 
